created_at,text
Wed May 03 23:50:41 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/pihlbX2yIB https://t.co/b1TgIX7L8G
Wed May 03 23:50:41 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/qrHa4RMRyH https://t.co/7Jto3iEKV1
Wed May 03 23:50:41 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/anl4ksc7L4 https://t.co/GCeJMV3hrc
Wed May 03 23:50:43 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/MOc7tJ9y3K https://t.co/Ihixrb6olc
Wed May 03 23:50:43 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/QvgnWXC078 https://t.co/Do9CPQ9sMD
Wed May 03 23:50:43 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/KdW3bQVPDG https://t.co/nCGVbiJ0nQ
Wed May 03 23:50:45 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/2fcyZVQjfM https://t.co/PRXKKp8Lyt
Wed May 03 23:50:45 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/yVwX8Syrb7 https://t.co/N99FkCcm3c
Wed May 03 23:50:48 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/3OZ0jiGqCb
Wed May 03 23:50:53 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:51:06 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida t #lastest #news https://t.co/kbbLk5Qq0x https://t.co/m3CEUp7FBB
Wed May 03 23:51:08 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/uhsrveICCR"
Wed May 03 23:51:09 +0000 2017,"Andrew Barnett's latest: Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/jIS3NWsY4E #exercise"
Wed May 03 23:51:11 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/19JOl55SMg | #health #medicalresearch #sciencedaily"
Wed May 03 23:51:20 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:51:24 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/8VcHCDW4LQ via the @FoxNews Android app
Wed May 03 23:51:24 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/TAQkp70NiC"
Wed May 03 23:51:37 +0000 2017,I seen this movie one time where... https://t.co/rOVXepLDeO
Wed May 03 23:51:47 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:52:03 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:52:04 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:52:06 +0000 2017,"#Tech ""Researchers advance low-cost, low-tech Zika virus surveillance tool"" https://t.co/Mxnscie8A2"
Wed May 03 23:52:09 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/0WnND8OKeX"
Wed May 03 23:52:10 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/wOlwfBme1m"
Wed May 03 23:52:10 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/w8PWL6lXip #breakingnews #news
Wed May 03 23:52:11 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/MfTJCajMNG #onmedic #science"
Wed May 03 23:52:21 +0000 2017,"RT @KushaalPatel: #Tech ""Researchers advance low-cost, low-tech Zika virus surveillance tool"" https://t.co/Mxnscie8A2"
Wed May 03 23:52:35 +0000 2017,[Research Articles] Rapid and specific detection of Asian- and African-lineage Zika viruses https://t.co/tU0mRQboD6
Wed May 03 23:52:41 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/8QH1leSip4 #mcgsci"
Wed May 03 23:52:53 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:53:04 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/psQhYT188V #health #medicine"
Wed May 03 23:53:09 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool  https://t.co/PxbC6ftPNa #science #health"
Wed May 03 23:53:14 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/LfF3pOrcDA #science #tech"
